Gene.symbol,Gene.ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
SRSF3,6428,0.048103922,3.510704932,8.993590014,8.36E-05,0.001914641,1.390945319
NEDD9,4739,0.048091265,2.909228237,4.166818932,0.005390867,0.017283878,-3.311646294
MXRA8,54587,0.048090447,3.359476219,5.529826668,0.00128558,0.007397142,-1.706540584
LY6H,4062,0.048072507,3.000393441,4.811976815,0.002649079,0.011016502,-2.519060861
ZSCAN5A,79149,0.04798015,2.959147569,5.18574953,0.001802815,0.008848913,-2.087164929
SRGAP3///RAF1,9901///5894,0.047913978,2.832414174,6.76505934,4.28E-04,0.00432891,-0.462224266
VAX2,25806,0.047907556,3.056610482,3.716196947,0.009186717,0.024466383,-3.900992559
FXYD3,5349,0.047882214,2.791557042,5.0294606,0.002112748,0.009673526,-2.265377658
IGLON5,402665,0.047857943,2.816228483,4.035618034,0.006275892,0.019056632,-3.480239021
TTC24,164118,0.047849064,2.878373402,2.908975579,0.025772172,0.051207287,-5.022471447
SOST,50964,0.047818427,2.91171619,3.326340228,0.014938647,0.034316638,-4.433265255
CNTFR,1271,0.047714115,2.854045554,3.95486763,0.006900344,0.020204717,-3.585238784
CLDN11,5010,0.047638338,2.883979055,3.811178742,0.008189244,0.022582542,-3.774377177
SPRN,503542,0.047633483,2.85807126,4.38638283,0.004204246,0.01475699,-3.035111987
KRTAP5-1,387264,0.04760732,3.176925134,3.513866816,0.011789439,0.028936618,-4.174792735
SHANK3,85358,0.047575081,2.842624283,3.231845305,0.016864969,0.037402812,-4.565100128
VSIG2,23584,0.047571936,2.927133466,3.692348462,0.009457754,0.024954971,-3.932979175
PNCK,139728,0.047559133,2.899131834,4.991954892,0.002195794,0.009876372,-2.308650216
SRA1,10011,0.047506046,3.085623635,6.011595787,8.20E-04,0.005915456,-1.199483457
FAM110C,642273,0.047505235,3.021384187,5.257102361,0.001678648,0.008524043,-2.006921317
ERRFI1,54206,0.047502925,2.923165688,5.968960568,8.53E-04,0.006036266,-1.243185843
ACR,49,0.047499275,2.795721026,2.937653065,0.024805122,0.049690042,-4.981470798
DNAAF3,352909,0.047441629,2.812231667,3.647895469,0.009986807,0.025812174,-3.992808088
KLF1,10661,0.047417487,3.00816861,3.161642295,0.01847082,0.039854265,-4.663683813
C1QTNF5///MFRP,114902///83552,0.047411682,2.993414742,4.213493493,0.005110284,0.016688007,-3.252272604
MAGEA10-MAGEA5///MAGEA5,100533997///4104,0.047365006,2.822837396,5.825282227,9.73E-04,0.006429869,-1.392108363
RTP1,132112,0.047340024,2.806633039,4.08591645,0.005918791,0.018350106,-3.415310898
MLLT11,10962,0.047329253,3.042080124,6.500244216,5.34E-04,0.004796945,-0.71400531
CCL8,6355,0.04732247,3.143214222,6.005052416,8.25E-04,0.005941845,-1.206176213
ARID2,196528,0.047312299,3.369059126,8.879812296,9.00E-05,0.00197802,1.306326325
PLVAP,83483,0.047304077,2.86413829,3.032399564,0.021877923,0.045221726,-4.846487558
KRT83,3889,0.047277906,2.794094464,2.90572017,0.025884483,0.051362373,-5.027129715
DEGS2,123099,0.047271846,3.148416836,4.317714033,0.004540686,0.015510475,-3.120842331
INHBB///INHBB,3625///3625,0.047269762,3.05325937,4.228426518,0.005023982,0.016546171,-3.233343642
CCDC157,550631,0.047241535,2.858205454,4.651079004,0.003144918,0.012265252,-2.711076148
CCDC154,645811,0.04721213,2.942879962,4.77330681,0.002759686,0.011268998,-2.564870487
